University,Program,Degree,Type,Accreditation,Year,Grade,Expiration Date,Status
IAIN Pekalongan,Tadris Bahasa Inggris,S1,PTAN,2632/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-24,118 hari lagi kadaluarsa
IAIN Kediri,Ekonomi Syariah,S1,PTAN,2640/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-24,118 hari lagi kadaluarsa
IAIN Bengkulu,Manajemen Dakwah,S1,PTAN,2544/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-23,117 hari lagi kadaluarsa
IAIN Bengkulu,Ilmu Pendidikan Anak Usia Dini Islam,S2,PTAN,2619/SK/BAN-PT/Akred/M/VII/2019,2019,B,2024-07-23,117 hari lagi kadaluarsa
IAIN Sultan Amai Gorontalo,Perbankan Syari'ah,S1,PTAN,2573/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-23,117 hari lagi kadaluarsa
UIN Syarif Hidayatullah,Dirasat Islamiyah(Berbasis Bahasa Arab Dan Tahfidz Al-Quran),S2,PTAN,2528/SK/BAN-PT/Akred/M/VII/2019,2019,A,2024-07-23,117 hari lagi kadaluarsa
IAIN Bengkulu,Tadris Matematika,S1,PTAN,2513/SK/BAN-PT/Akred/S/VII/2019,2019,C,2024-07-17,111 hari lagi kadaluarsa
UIN Sulthan Syarif Kasim,Pendidikan Bahasa Inggris,S1,PTAN,2499/SK/BAN-PT/Akred/S/VII/2019,2019,A,2024-07-17,111 hari lagi kadaluarsa
IAIN Purwokerto,Studi Agama-Agama,S1,PTAN,2408/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-16,110 hari lagi kadaluarsa
IAIN Bukittinggi,Manajemen Bisnis Syariah,S1,PTAN,2433/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-16,110 hari lagi kadaluarsa
UIN Raden Fatah Palembang,Manajemen Dakwah,S1,PTAN,2413/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-16,110 hari lagi kadaluarsa
IAIN Bengkulu,Tadris IPA,S1,PTAN,2461/SK/BAN-PT/Akred/S/VII/2019,2019,C,2024-07-16,110 hari lagi kadaluarsa
IAIN Bengkulu,Tadris Bahasa Indonesia,S1,PTAN,2450/SK/BAN-PT/Akred/S/VII/2019,2019,C,2024-07-16,110 hari lagi kadaluarsa
IAIN Bengkulu,Tadris IPS,S1,PTAN,2437/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-16,110 hari lagi kadaluarsa
IAIN Curup,Komunikasi Dan Penyiaran Islam,S1,PTAN,2391/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-16,110 hari lagi kadaluarsa
UIN Sulthan Syarif Kasim,Manajemen Perusahaan,D-III,PTAN,2395/SK/BAN-PT/Akred/Dipl-III/VII/2019,2019,B,2024-07-16,110 hari lagi kadaluarsa
UIN Sulthan Syarif Kasim,Administrasi Perpajakan,D-III,PTAN,2481/SK/BAN-PT/Akred/Dipl-III/VII/2019,2019,A,2024-07-16,110 hari lagi kadaluarsa
UIN Sulthan Syarif Kasim,Pendidikan Matematika,S1,PTAN,2403/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-16,110 hari lagi kadaluarsa
UIN Alauddin,Perbankan Syariah,S1,PTAN,2434/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-16,110 hari lagi kadaluarsa
UIN Sulthan Syarif Kasim,Sistem Informasi,S1,PTAN,2351/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-10,104 hari lagi kadaluarsa
UIN Sulthan Syarif Kasim,Psikologi,S1,PTAN,2368/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-10,104 hari lagi kadaluarsa
IAIN Purwokerto,Tadris Bahasa Inggris,S1,PTAN,2300/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-09,103 hari lagi kadaluarsa
UIN Sunan Kalijaga,Aqidah Dan Filsafat Islam,S2,PTAN,969/SK/BAN-PT/Akred/M/II/2021,2021,A,2026-02-23,Masih berlaku
IAIN Tulungagung,Aqidah Dan Filsafat Islam,S2,PTAN,2340/SK/BAN-PT/Akred/M/VII/2019,2019,B,2024-07-09,103 hari lagi kadaluarsa
IAIN Bukittinggi,Pendidikan Bahasa Arab,S1,PTAN,2232/SK/BAN-PT/Akred/S/VII/2019,2019,A,2024-07-09,103 hari lagi kadaluarsa
IAIN Curup,Manajemen Pendidikan Islam,S1,PTAN,2253/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-09,103 hari lagi kadaluarsa
IAIN Jember,Hukum Keluarga,S2,PTAN,2280/SK/BAN-PT/Akred/M/VII/2019,2019,B,2024-07-09,103 hari lagi kadaluarsa
STAIN Pamekasan,Pendidikan Bahasa Arab,S1,PTAN,502/SK/BAN-PT/Akred/S/III/2019,2019,B,2024-03-26,Sedang dalam proses evaluasi untuk perpanjangan peringkat.
IAIN Purwokerto,Sejarah Peradaban Islam,S1,PTAN,526/SK/BAN-PT/Akred/S/III/2019,2019,B,2024-03-26,Sedang dalam proses evaluasi untuk perpanjangan peringkat.
STAIN Gajah Putih Takengon Aceh Tengah,Pendidikan Agama Islam,S2,PTAN,646/SK/BAN-PT/Akred/M/IV/2019,2019,B,2024-04-02,5 hari lagi kadaluarsa
IAIN Bukittinggi,Ilmu Al-Qur`an Dan Tafsir,S1,PTAN,643/SK/BAN-PT/Akred/S/IV/2019,2019,B,2024-04-02,5 hari lagi kadaluarsa
UIN Imam Bonjol Padang,Sejarah Peradaban Islam (SPI),S1,PTAN,729/SK/BAN-PT/Akred/S/IV/2019,2019,B,2024-04-09,12 hari lagi kadaluarsa
UIN Imam Bonjol Padang,Pendidikan Islam,S3,PTAN,755/SK/BAN-PT/Akred/D/IV/2019,2019,B,2024-04-09,12 hari lagi kadaluarsa
UIN Raden Intan Lampung,Pemikiran Politik Islam,S1,PTAN,721/SK/BAN-PT/Akred/S/IV/2019,2019,A,2024-04-09,12 hari lagi kadaluarsa
IAIN Bukittinggi,Hukum Tatanegara (Siyasah),S1,PTAN,800/SK/BAN-PT/Akred/S/IV/2019,2019,B,2024-04-09,12 hari lagi kadaluarsa
UIN Sunan Gunung Djati,Hukum Islam,S3,PTAN,764/SK/BAN-PT/Akred/D/IV/2019,2019,B,2024-04-09,12 hari lagi kadaluarsa
UIN Sunan Ampel,Ekonomi Syariah,S2,PTAN,726/SK/BAN-PT/Akred/M/IV/2019,2019,B,2024-04-09,12 hari lagi kadaluarsa
IAIN Jember,Manajemen Pendidikan Islam,S1,PTAN,720/SK/BAN-PT/Akred/S/IV/2019,2019,A,2024-04-09,12 hari lagi kadaluarsa
STAIN Kediri,Pendidikan Agama Islam,S2,PTAN,725/SK/BAN-PT/Akred/M/IV/2019,2019,B,2024-04-09,12 hari lagi kadaluarsa
STAIN Gajah Putih Takengon Aceh Tengah,Pendidikan Agama Islam,S1,PTAN,757/SK/BAN-PT/Akred/S/IV/2019,2019,B,2024-04-09,12 hari lagi kadaluarsa
STAIN Kediri,Psikologi Islam,S1,PTAN,754/SK/BAN-PT/Akred/S/IV/2019,2019,B,2024-04-09,12 hari lagi kadaluarsa
UIN Sunan Gunung Djati,Aqidah Dan Filsafat Islam,S1,PTAN,716/SK/BAN-PT/Akred/S/IV/2019,2019,A,2024-04-09,12 hari lagi kadaluarsa
STAIN Pamekasan,Akuntansi Syariah,S1,PTAN,804/SK/BAN-PT/Akred/S/IV/2019,2019,B,2024-04-09,12 hari lagi kadaluarsa
UIN Sunan Gunung Djati,Ilmu Hadis,S1,PTAN,845/SK/BAN-PT/Akred/S/IV/2019,2019,B,2024-04-09,12 hari lagi kadaluarsa
UIN Sunan Gunung Djati,Ilmu Hukum,S1,PTAN,677/SK/BAN-PT/Akred/S/IV/2019,2019,A,2024-04-09,12 hari lagi kadaluarsa
UIN Walisongo Semarang,Pendidikan Matematika,S1,PTAN,734/SK/BAN-PT/Akred/S/IV/2019,2019,B,2024-04-09,12 hari lagi kadaluarsa
IAIN Syekh Nurjati Cirebon,Pengembangan Masyarakat Islam,S1,PTAN,750/SK/BAN-PT/Akred/S/IV/2019,2019,B,2024-04-09,12 hari lagi kadaluarsa
UIN Sultan Thaha Saifuddin Jambi,Tadris Bahasa Inggris,S1,PTAN,950/SK/BAN-PT/Akred/S/IV/2019,2019,B,2024-04-16,19 hari lagi kadaluarsa
IAIN Tulungagung,Tadris Bahasa Indonesia,S1,PTAN,959/SK/BAN-PT/Akred/S/IV/2019,2019,B,2024-04-16,19 hari lagi kadaluarsa
IAIN Ponorogo,Komunikasi Dan Penyiaran Islam,S1,PTAN,949/SK/BAN-PT/Akred/S/IV/2019,2019,B,2024-04-16,19 hari lagi kadaluarsa
IAIN Syekh Nurjati Cirebon,Hukum Keluarga (Akhwal Syaksiyah),S2,PTAN,1191/SK/BAN-PT/Akred/M/IV/2019,2019,B,2024-04-23,26 hari lagi kadaluarsa
IAIN Fattahul Muluk Papua,Hukum Ekonomi Syariah (Muamalah),S1,PTAN,1115/SK/BAN-PT/Akred/S/IV/2019,2019,B,2024-04-23,26 hari lagi kadaluarsa
IAIN Ponorogo,Ekonomi Syariah,S2,PTAN,1046/SK/BAN-PT/Akred/M/IV/2019,2019,B,2024-04-23,26 hari lagi kadaluarsa
IAIN Purwokerto,Perbandingan Madzhab,S1,PTAN,1119/SK/BAN-PT/Akred/S/IV/2019,2019,B,2024-04-23,26 hari lagi kadaluarsa
IAIN Tulungagung,Tadris Biologi,S1,PTAN,1204/SK/BAN-PT/Akred/S/IV/2019,2019,C,2024-04-23,26 hari lagi kadaluarsa
UIN Antasari Banjarmasin,Psikologi Islam,S1,PTAN,1042/SK/BAN-PT/Akred/S/IV/2019,2019,B,2024-04-23,26 hari lagi kadaluarsa
IAIN Batusangkar,Ekonomi Syariah,S1,PTAN,1056/SK/BAN-PT/Akred/S/IV/2019,2019,B,2024-04-23,26 hari lagi kadaluarsa
IAIN Batusangkar,Tadris Biologi,S1,PTAN,1058/SK/BAN-PT/Akred/S/IV/2019,2019,B,2024-04-23,26 hari lagi kadaluarsa
UIN Walisongo Semarang,Ilmu Falak,S1,PTAN,1305/SK/BAN-PT/Akred/S/IV/2019,2019,A,2024-04-30,33 hari lagi kadaluarsa
IAIN Tulungagung,Ekonomi Syariah,S2,PTAN,1401/SK/BAN-PT/Akred/M/V/2019,2019,B,2024-05-07,40 hari lagi kadaluarsa
IAIN Jember,Akuntansi Syari`ah,S1,PTAN,1400/SK/BAN-PT/Akred/S/V/2019,2019,B,2024-05-07,40 hari lagi kadaluarsa
UIN Maulana Malik Ibrahim,Teknik Informatika,S1,PTAN,1341/SK/BAN-PT/Akred/S/V/2019,2019,B,2024-05-07,40 hari lagi kadaluarsa
UIN Sunan Gunung Djati,Perbandingan Mazhab,S1,PTAN,1323/SK/BAN-PT/Akred/S/V/2019,2019,A,2024-05-07,40 hari lagi kadaluarsa
UIN Raden Intan Lampung,Bimbingan Dan Konseling Islam,S1,PTAN,1348/SK/BAN-PT/Akred/S/V/2019,2019,B,2024-05-07,40 hari lagi kadaluarsa
IAIN Ponorogo,Pendidikan Islam Anak Usia Dini,S1,PTAN,1465/SK/BAN-PT/Akred/S/V/2019,2019,B,2024-05-08,41 hari lagi kadaluarsa
IAIN Jember,Manajemen Zakat Dan Wakaf,S1,PTAN,1531/SK/BAN-PT/Akred/S/V/2019,2019,B,2024-05-14,47 hari lagi kadaluarsa
IAIN Ponorogo,Perbankan Syariah,S1,PTAN,1517/SK/BAN-PT/Akred/S/V/2019,2019,B,2024-05-14,47 hari lagi kadaluarsa
UIN Antasari Banjarmasin,Pendidikan Agama Islam,S3,PTAN,1507/SK/BAN-PT/Akred/D/V/2019,2019,B,2024-05-14,47 hari lagi kadaluarsa
UIN Sulthan Syarif Kasim,Akuntansi,D-III,PTAN,1483/SK/BAN-PT/Akred/Dipl-III/V/2019,2019,A,2024-05-14,47 hari lagi kadaluarsa
IAIN Bone,Ekonomi Syariah,S1,PTAN,1527/SK/BAN-PT/Ak-PNB/S/V/2019,2019,B,2024-04-09,12 hari lagi kadaluarsa
IAIN Kediri,Pendidikan Agama Islam,S2,PTAN,1491/SK/BAN-PT/Ak-PNB/M/V/2019,2019,B,2024-04-09,12 hari lagi kadaluarsa
IAIN Kediri,Psikologi Islam,S1,PTAN,1500/SK/BAN-PT/Ak-PNB/S/V/2019,2019,B,2024-04-09,12 hari lagi kadaluarsa
UIN Sultan Thaha Saifuddin Jambi,Aqidah Dan Filsafat Islam,S2,PTAN,1623/SK/BAN-PT/Akred/M/V/2019,2019,B,2024-05-21,54 hari lagi kadaluarsa
IAIN Syekh Nurjati Cirebon,Ekonomi Syari'ah,S2,PTAN,1677/SK/BAN-PT/Akred/M/V/2019,2019,B,2024-05-21,54 hari lagi kadaluarsa
IAIN Samarinda,Manajemen Pendidikan Islam,S2,PTAN,1686/SK/BAN-PT/Akred/M/V/2019,2019,B,2024-05-21,54 hari lagi kadaluarsa
IAIN Tulungagung,Hukum Tatanegara (Siyasah Syar'iyyah),S1,PTAN,1529/SK/BAN-PT/Akred/S/V/2019,2019,B,2024-05-14,47 hari lagi kadaluarsa
IAIN ParePare,Bimbingan Konseling Islam,S1,PTAN,1697/SK/BAN-PT/Akred/S/V/2019,2019,B,2024-05-22,55 hari lagi kadaluarsa
IAIN Samarinda,Komunikasi Dan Penyiaran Islam,S2,PTAN,1698/SK/BAN-PT/Akred/M/V/2019,2019,B,2024-05-22,55 hari lagi kadaluarsa
UIN Sulthan Syarif Kasim,Matematika,S1,PTAN,1714/SK/BAN-PT/Akred/S/V/2019,2019,B,2024-05-22,55 hari lagi kadaluarsa
IAIN Syekh Nurjati Cirebon,Perbankan Syari'ah,S1,PTAN,1857/SK/BAN-PT/Akred/S/V/2019,2019,B,2024-05-28,61 hari lagi kadaluarsa
UIN Sunan Ampel,Akuntansi,S1,PTAN,1808/SK/BAN-PT/Akred/S/V/2019,2019,B,2024-05-28,61 hari lagi kadaluarsa
IAIN Purwokerto,Hukum Tatanegara (Siyasah),S1,PTAN,1826/SK/BAN-PT/Akred/S/V/2019,2019,B,2024-05-28,61 hari lagi kadaluarsa
UIN Sulthan Syarif Kasim,Peternakan,S1,PTAN,1786/SK/BAN-PT/Akred/S/V/2019,2019,A,2024-05-28,61 hari lagi kadaluarsa
UIN Mataram,Komunikasi Dan Penyiaran Islam,S2,PTAN,1820/SK/BAN-PT/Akred/M/V/2019,2019,B,2024-05-28,61 hari lagi kadaluarsa
STAIN Pamekasan,Bimbingan Dan Konseling Pendidikan Islam,S1,PTAN,1873/SK/BAN-PT/Akred/S/V/2019,2019,B,2024-05-29,62 hari lagi kadaluarsa
UIN Sulthan Syarif Kasim,Pendidikan Agama Islam,S3,PTAN,1938/SK/BAN-PT/Akred/D/VI/2019,2019,B,2024-06-12,76 hari lagi kadaluarsa
IAIN Kediri,Perbankan Syariah,S1,PTAN,1953/SK/BAN-PT/Akred/S/VI/2019,2019,B,2024-06-12,76 hari lagi kadaluarsa
IAIN Lhokseumawe,Komunikasi Dan Penyiaran Islam,S2,PTAN,1942/SK/BAN-PT/Akred/M/VI/2019,2019,B,2024-06-12,76 hari lagi kadaluarsa
STAIN Gajah Putih Takengon Aceh Tengah,Pendidikan Bahasa Arab,S1,PTAN,2048/SK/BAN-PT/Akred/S/VI/2019,2019,B,2024-06-25,89 hari lagi kadaluarsa
UIN Sunan Ampel,Manajemen Zakat Dan Wakaf,S1,PTAN,2062/SK/BAN-PT/Akred/S/VI/2019,2019,B,2024-06-25,89 hari lagi kadaluarsa
IAIN Samarinda,Pendidikan Islam Anak Usia Dini,S2,PTAN,2056/SK/BAN-PT/Akred/M/VI/2019,2019,B,2024-06-25,89 hari lagi kadaluarsa
UIN Alauddin,Ilmu Perpustakaan,S1,PTAN,2036/SK/BAN-PT/Akred/S/VI/2019,2019,A,2024-06-25,89 hari lagi kadaluarsa
UIN Sulthan Syarif Kasim,Teknik Industri,S1,PTAN,2043/SK/BAN-PT/Akred/S/VI/2019,2019,B,2024-06-25,89 hari lagi kadaluarsa
UIN Sulthan Syarif Kasim,Agroteknologi,S1,PTAN,2031/SK/BAN-PT/Akred/S/VI/2019,2019,A,2024-06-25,89 hari lagi kadaluarsa
UIN Sulthan Syarif Kasim,Manajemen,S1,PTAN,2045/SK/BAN-PT/Akred/S/VI/2019,2019,B,2024-06-25,89 hari lagi kadaluarsa
IAIN Curup,Tadris Bahasa Inggris,S1,PTAN,2030/SK/BAN-PT/Akred/S/VI/2019,2019,A,2024-06-25,89 hari lagi kadaluarsa
IAIN Tulungagung,Manajemen Pendidikan Islam,S1,PTAN,2150/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-02,96 hari lagi kadaluarsa
UIN Mataram,Manajemen Pendidikan Islam,S2,PTAN,2128/SK/BAN-PT/Akred/M/VII/2019,2019,B,2024-07-02,96 hari lagi kadaluarsa
IAIN Jember,Hukum Tata Negara (Siyasah),S1,PTAN,2155/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-02,96 hari lagi kadaluarsa
IAIN Ponorogo,Manajemen Pendidikan Islam,S2,PTAN,2129/SK/BAN-PT/Akred/M/VII/2019,2019,B,2024-07-02,96 hari lagi kadaluarsa
IAIN Batusangkar,Tadris Kimia,S1,PTAN,2157/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-02,96 hari lagi kadaluarsa
UIN Sulthan Syarif Kasim,Teknik Elektro,S1,PTAN,2122/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-02,96 hari lagi kadaluarsa
UIN Raden Fatah Palembang,Perbankan Syariah,S1,PTAN,2138/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-02,96 hari lagi kadaluarsa
IAIN Pekalongan,Komunikasi Dan Penyiaran Islam,S1,PTAN,2117/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-02,96 hari lagi kadaluarsa
UIN Sultan Thaha Saifuddin Jambi,Ilmu Syariah,S2,PTAN,2694/SK/BAN-PT/Akred/M/VII/2019,2019,B,2024-07-30,124 hari lagi kadaluarsa
IAIN Bukittinggi,Ekonomi Syariah,S2,PTAN,2707/SK/BAN-PT/Akred/M/VII/2019,2019,B,2024-07-30,124 hari lagi kadaluarsa
IAIN Kediri,Ilmu Hadis,S1,PTAN,2696/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-30,124 hari lagi kadaluarsa
UIN Sunan Ampel,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAN,2791/SK/BAN-PT/Akred/S/VII/2019,2019,A,2024-07-30,124 hari lagi kadaluarsa
IAIN Curup,Pendidikan Agama Islam (Berbasis Teknologi Pendidikan),S2,PTAN,2747/SK/BAN-PT/Akred/M/VII/2019,2019,B,2024-07-30,124 hari lagi kadaluarsa
UIN Walisongo Semarang,Perbankan Syariah,D-III,PTAN,2690/SK/BAN-PT/Akred/Dipl-III/VII/2019,2019,A,2024-07-30,124 hari lagi kadaluarsa
UIN Syarif Hidayatullah,Aqidah Dan Filsafat Islam,S2,PTAN,2793/SK/BAN-PT/Akred/M/VII/2019,2019,A,2024-07-30,124 hari lagi kadaluarsa
IAIN Bukittinggi,Pariwisata Syariah,S1,PTAN,2745/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-30,124 hari lagi kadaluarsa
IAIN Palangkaraya,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAN,2752/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-30,124 hari lagi kadaluarsa
UIN Raden Fatah Palembang,Kimia,S1,PTAN,2720/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-30,124 hari lagi kadaluarsa
IAIN Jember,Hukum Pidana Islam,S1,PTAN,2814/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-31,125 hari lagi kadaluarsa
IAIN Kendari,Perbankan Syariah,S1,PTAN,2804/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-31,125 hari lagi kadaluarsa
IAIN Purwokerto,Manajemen Zakat Dan Wakaf,S1,PTAN,2810/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-31,125 hari lagi kadaluarsa
IAIN Palangkaraya,Manajemen Zakat Dan Wakaf,S1,PTAN,2854/SK/BAN-PT/Akred/S/VIII/2019,2019,B,2024-08-06,131 hari lagi kadaluarsa
UIN Sultan Thaha Saifuddin Jambi,Ilmu Pemerintahan,S1,PTAN,2849/SK/BAN-PT/Akred/S/VIII/2019,2019,B,2024-08-06,131 hari lagi kadaluarsa
IAIN Tulungagung,Tadris Bahasa Inggris (TBI),S1,PTAN,2827/SK/BAN-PT/Akred/S/VIII/2019,2019,A,2024-08-06,131 hari lagi kadaluarsa
UIN Raden Fatah Palembang,Ilmu Komunikasi,S1,PTAN,2848/SK/BAN-PT/Akred/S/VIII/2019,2019,B,2024-08-06,131 hari lagi kadaluarsa
UIN Sultan Syarif Kasim,Hukum Keluarga (Akhwal Syaksiyah),S1,PTAN,2969/SK/BAN-PT/Akred/S/VIII/2019,2019,B,2024-08-07,132 hari lagi kadaluarsa
IAIN Surakarta,Perbankan Syariah,S1,PTAN,2949/SK/BAN-PT/Akred/S/VIII/2019,2019,A,2024-08-07,132 hari lagi kadaluarsa
UIN Sultan Syarif Kasim,Pendidikan Kimia,S1,PTAN,2992/SK/BAN-PT/Akred/S/VIII/2019,2019,B,2024-08-13,138 hari lagi kadaluarsa
IAIN Bengkulu,Bahasa Dan Sastra Arab,S1,PTAN,3053/SK/BAN-PT/Akred/S/VIII/2019,2019,B,2024-08-13,138 hari lagi kadaluarsa
IAIN Langsa,Hukum Tata Negara,S1,PTAN,3009/SK/BAN-PT/Akred/S/VIII/2019,2019,B,2024-08-13,138 hari lagi kadaluarsa
IAIN Langsa,Pendidikan Islam Anak Usia Dini,S1,PTAN,3018/SK/BAN-PT/Akred/S/VIII/2019,2019,B,2024-08-13,138 hari lagi kadaluarsa
IAIN Surakarta,Tadris Bahasa Indonesia,S1,PTAN,3063/SK/BAN-PT/Akred/S/VIII/2019,2019,B,2024-08-14,139 hari lagi kadaluarsa
IAIN Kediri,Pendidikan Agama Islam,S1,PTAN,3162/SK/BAN-PT/Akred/S/VIII/2019,2019,B,2024-08-20,145 hari lagi kadaluarsa
UIN Sumatera Utara Medan,Tadris Biologi,S1,PTAN,3123/SK/BAN-PT/Akred/S/VIII/2019,2019,B,2024-08-20,145 hari lagi kadaluarsa
UIN Sultan Syarif Kasim,Hukum Keluarga (Akhwal Syaksiyah),S3,PTAN,3185/SK/BAN-PT/Akred/D/VIII/2019,2019,B,2024-08-21,146 hari lagi kadaluarsa
IAIN Ponorogo,Tadris Ilmu Pengetahuan Alam,S1,PTAN,3247/SK/BAN-PT/Akred/S/VIII/2019,2019,B,2024-08-27,152 hari lagi kadaluarsa
IAIN Lhokseumawe,Tadris Bahasa Indonesia,S1,PTAN,3232/SK/BAN-PT/Akred/S/VIII/2019,2019,B,2024-08-27,152 hari lagi kadaluarsa
IAIN Surakarta,Manajemen Zakat Dan Wakaf,S1,PTAN,3334/SK/BAN-PT/Akred/S/IX/2019,2019,B,2024-09-03,159 hari lagi kadaluarsa
UIN Sumatera Utara Medan,Ekonomi Syariah,S3,PTAN,3316/SK/BAN-PT/Akred/D/IX/2019,2019,B,2024-09-03,159 hari lagi kadaluarsa
UIN Mataram,Sosiologi Agama,S1,PTAN,3324/SK/BAN-PT/Akred/S/IX/2019,2019,B,2024-09-03,159 hari lagi kadaluarsa
UIN Sumatera Utara Medan,Fisika,S1,PTAN,3337/SK/BAN-PT/Akred/S/IX/2019,2019,B,2024-09-03,159 hari lagi kadaluarsa
UIN Syarif Hidayatullah,Pengkajian Islam,S2,PTAN,3394/SK/BAN-PT/Akred/M/IX/2019,2019,A,2024-09-04,160 hari lagi kadaluarsa
IAIN Tulungagung,Tadris Bahasa Inggris,S2,PTAN,3388/SK/BAN-PT/Akred/M/IX/2019,2019,C,2024-09-04,160 hari lagi kadaluarsa
UIN Sultan Syarif Kasim,Pendidikan Agama Islam,S2,PTAN,3395/SK/BAN-PT/Akred/M/IX/2019,2019,B,2024-09-04,160 hari lagi kadaluarsa
IAIN Tulungagung,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAN,3393/SK/BAN-PT/Akred/S/IX/2019,2019,B,2024-09-04,160 hari lagi kadaluarsa
IAIN Bukittinggi,Aqidah Dan Filsafat Islam,S1,PTAN,3434/SK/BAN-PT/Akred/S/IX/2019,2019,B,2024-09-10,166 hari lagi kadaluarsa
IAIN Metro,Bahasa Dan Sastra Arab,S1,PTAN,3541/SK/BAN-PT/Akred/S/IX/2019,2019,B,2024-09-17,173 hari lagi kadaluarsa
IAIN Bengkulu,Ilmu Tasawuf,S1,PTAN,5547/SK/BAN-PT/Akred/S/XII/2019,2019,B,2024-12-26,Masih berlaku
STAIN Watampone,Ekonomi Syari'ah,S1,PTAN,821/SK/BAN-PT/Akred/S/IV/2019,2019,B,2024-04-09,12 hari lagi kadaluarsa
UIN Syarif Hidayatullah,Ilmu Hukum,S1,PTAN,3614/SK/BAN-PT/Akred/S/IX/2019,2019,B,2024-09-25,Masih berlaku
IAIN Padangsidimpuan,Pendidikan Bahasa Arab,S1,PTAN,3638/SK/BAN-PT/Akred/S/X/2019,2019,B,2024-10-01,Masih berlaku
IAIN Kerinci,Manajemen Pendidikan Islam,S1,PTAN,4000/SK/BAN-PT/Akred/S/X/2019,2019,B,2024-10-22,Masih berlaku
UIN Syarif Hidayatullah,Agribisnis,S2,PTAN,4046/SK/BAN-PT/Akred/M/X/2019,2019,B,2024-10-23,Masih berlaku
UIN Alauddin,Pendidikan Islam Anak Usia Dini,S1,PTAN,4452/SK/BAN-PT/Akred/S/XI/2019,2019,B,2024-11-05,Masih berlaku
IAIN Ponorogo,Tadris Ilmu Pengetahuan Sosial,S1,PTAN,4626/SK/BAN-PT/Akred/S/XI/2019,2019,B,2024-11-12,Masih berlaku
UIN Raden Fatah Palembang,Sistem Informasi,S1,PTAN,4116/SK/BAN-PT/Akred/S/X/2019,2019,B,2024-10-30,Masih berlaku
IAIN Tulungagung,Tadris Ilmu Pengetahuan Sosial,S1,PTAN,4121/SK/BAN-PT/Ak-PNB/S/X/2019,2019,B,2024-05-07,40 hari lagi kadaluarsa
UIN SYARIF HIDAYATULLAH JAKARTA JAKARTA,KEPERAWATAN,S1,PTAN,0517/LAM-PTKes/Akr/Sar/IX/2019,2019,A,2024-09-28,Masih berlaku
UIN SYARIF HIDAYATULLAH JAKARTA JAKARTA,NERS,Profesi,PTAN,0518/LAM-PTKes/Akr/Pro/IX/2019,2019,A,2024-09-28,Masih berlaku
IAIN Bukittinggi,Hukum Keluarga Islam (Ahwal Syakhshiyyah),S1,PTAN,4645/SK/BAN-PT/Ak-PNB/S/XII/2019,2019,B,2024-10-31,Masih berlaku
IAIN Surakarta,Pendidikan Agama Islam,S2,PTAN,4820/SK/BAN-PT/Akred/M/XII/2019,2019,B,2024-12-17,Masih berlaku
IAIN Tulungagung,Pendidikan Agama Islam,S2,PTAN,5538/SK/BAN-PT/Akred/M/XII/2019,2019,A,2024-12-26,Masih berlaku
UIN Syarif Hidayatullah,Pendidikan Agama Islam,S2,PTAN,5536/SK/BAN-PT/Akred/M/XII/2019,2019,A,2024-12-26,Masih berlaku
UIN Ar-Raniry Banda Aceh,Pengembangan Masyarakat Islam,S1,PTAN,5540/SK/BAN-PT/Akred/S/XII/2019,2019,A,2024-12-26,Masih berlaku
UIN Raden Fatah Palembang,Manajemen Zakat Dan Wakaf,S1,PTAN,5549/SK/BAN-PT/Akred/S/XII/2019,2019,B,2024-12-26,Masih berlaku
