University,Program,Degree,Type,Accreditation,Year,Grade,Expiration Date,Status
UIN K.H. Abdurrahman Wahid Pekalongan,Akuntansi Syariah,S1,PTAN,6775/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2024-12-31,Masih berlaku
UIN K.H. Abdurrahman Wahid Pekalongan,Bimbingan Penyuluhan Islam,S1,PTAN,6771/SK/BAN-PT/Ak-PNB/S/X/2022,2022,A,2026-03-10,Masih berlaku
UIN K.H. Abdurrahman Wahid Pekalongan,Hukum Keluarga Islam (Ahwal Syakhshiyyah),S1,PTAN,6769/SK/BAN-PT/Ak-PNB/S/X/2022,2022,A,2025-05-05,Masih berlaku
UIN K.H. Abdurrahman Wahid Pekalongan,Hukum Tatanegara (Siyasah Syar'iyyah),S1,PTAN,6780/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2025-12-22,Masih berlaku
UIN K.H. Abdurrahman Wahid Pekalongan,Komunikasi Dan Penyiaran Islam,S1,PTAN,6783/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2024-07-02,96 hari lagi kadaluarsa
UIN K.H. Abdurrahman Wahid Pekalongan,Manajemen Dakwah,S1,PTAN,6773/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2024-12-26,Masih berlaku
IAIN Batusangkar,Bimbingan Konseling,S1,PTAN,6702/SK/BAN-PT/Ak/S/X/2022,2022,Baik Sekali,2027-10-04,Masih berlaku
STAIN Tengku Dirundeng Meulaboh,Pengembangan Masyarakat Islam,S1,PTAN,6704/SK/BAN-PT/Ak/S/X/2022,2022,Baik,2027-10-04,Masih berlaku
STAIN Mandailing Natal,Manajemen Pendidikan Islam,S1,PTAN,6685/SK/BAN-PT/Ak/S/X/2022,2022,Baik,2027-10-04,Masih berlaku
UIN Kiai Haji Achmad Siddiq Jember,Ilmu Hadis,S1,PTAN,6703/SK/BAN-PT/Ak/S/X/2022,2022,Unggul,2027-10-04,Masih berlaku
IAIN Ternate,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAN,6994/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2026-08-05,Masih berlaku
IAIN Ternate,Ilmu Al-Quran Dan Tafsir,S1,PTAN,6998/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2026-04-21,Masih berlaku
IAIN Syaikh Abdurrahman Siddik Bangka Belitung,Hukum Keluarga Islam (Ahwal Syakhshiyyah),S1,PTAN,6899/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2026-01-26,Masih berlaku
UIN Sayyid Ali Rahmatullah Tulungagung,Akuntansi Syariah,S1,PTAN,6901/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2025-12-08,Masih berlaku
UIN Salatiga,Pendidikan Bahasa Arab,S1,PTAN,6806/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2026-01-22,Masih berlaku
UIN Mahmud Yunus Batusangkar,Psikologi Islam,S1,PTAN,7026/SK/BAN-PT/Ak-PNB/S/X/2022,2022,Baik,2026-12-28,Masih berlaku
UIN Mahmud Yunus Batusangkar,Perbankan Syariah,S1,PTAN,7010/SK/BAN-PT/Ak-PNB/S/X/2022,2022,Unggul,2024-04-10,13 hari lagi kadaluarsa
UIN Mahmud Yunus Batusangkar,Pengembangan Masyarakat Islam,S1,PTAN,7034/SK/BAN-PT/Ak-PNB/S/X/2022,2022,Baik,2026-08-24,Masih berlaku
UIN Mahmud Yunus Batusangkar,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAN,7035/SK/BAN-PT/Ak-PNB/S/X/2022,2022,Baik,2025-09-15,Masih berlaku
